Make,Model,Type,First-registration-date,Year-of-manufacture,Mileage,Chassis-number,Engine-number,Gearbox-number,Matching-numbers,Previous-owners,Café-Racer,Engine-Type,Power,Cubic-capacity,Cylinders,Starter,Cooling,Gearbox,Gearshift,Gears,Transmission,Front-breaks,Rear-breaks,Fuel-type,Curb-weight,Exterior-color,Price
Kawasaki,KZ 1300 DFI,Touring Bike,Not provided,1986,Not provided,Not provided,Not provided,Not provided,Yes,2,No,Straight | 4-stroke | DOHC,96/130,1286,6,Electric starter,water,Not provided,Not provided,Not provided,Cardan,Disc,Disc,Petrol,0.297,Black,"17,138"
BMW,"R 100 G/S ""Paris-Dakar""",Enduro/Scrambler,Not provided,1989,"75,000 km",Not provided,Not provided,Not provided,Yes,1,No,Boxer | 4 stroke,44/60,980,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.21,White,"14,139"
Suzuki,GSX-R 750,Racing Motorcycle,Not provided,2005,"2,800 mls",Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,103/140,749,4,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.166,Blue,"4,000"
Harley-Davidson,FLHR Road King,Chopper,01/2000,2000,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,60/82,1584,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.368,Orange,"11,868"
Harley-Davidson,FLHR Road King,Chopper,01/2001,2001,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,1/1 (Factory: 60/82),1 (Factory: 1584),2,unknown,water,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,0.368,Black,"11,868"
Ducati,750 F1,Sports Bike,Not provided,1987,"25,055 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,51/70,748,2,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.185,Others,"23,993"
BMW,K 1200 RS,Racing Motorcycle,Not provided,1997,"101,082 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,96/130,1172,4,Electric starter,water,Manual,Pedal Control Left,6,Cardan,Disc,Disc,Petrol,0.28,Others,"4,713"
Kawasaki,ER-5,Touring Bike,06/1997,1997,2 km,JKAER500AAA010298,EX500AE,Not provided,Yes,1,No,Twin | 4 stroke | DOHC,37/50,498,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Drum,Petrol,0.19,Red,"4,113"
BMW,R 80 G/S,Enduro/Scrambler,04/1984,1984,"78,000 km",Not provided,Not provided,Not provided,Yes,2,No,Boxer | 4 stroke | OHC,37/50,798,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.235,White,"6,855"
Piaggio,Vespa PX 125 E,Scooter,Not provided,1982,"8,000 km",Not provided,Not provided,Not provided,No,1,No,2 stroke,7/9,123,1,Electric starter,Air,Manual,Not provided,4,Not provided,Not provided,Not provided,Petrol,0.098,White,"3,342"
Moto Guzzi,850 LeMans II,Sports Bike,05/1980,1980,"17,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,54/73,844,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,Not provided,Red,"8,483"
Honda,GL 1100 Gold Wing,Touring Bike,Not provided,1983,"46,073 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke | OHC,60/81,1085,4,Electric starter,water,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.27,Others,"5,141"
Ducati,750 Sport,Sports Bike,Not provided,1989,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt,53/72,748,2,Electric starter,Oil-air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.191,Others,"16,281"
Piaggio,Vespa PX 80,Scooter,Not provided,1984,"6,112 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,79,1,Kickstarter,Fan,Not provided,Not provided,Not provided,unit swing,Not provided,Not provided,Petrol,Not provided,Others,"4,713"
Honda,RS 125 R,Racing Motorcycle,Not provided,2008,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,32/44,124,1,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.072,Others,"5,141"
Ducati,Monster 900,Sports Bike,Not provided,1998,"31,856 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4 stroke | OHC,59/80,904,2,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.185,Others,"3,856"
Malaguti,F10 Jet Line America,Scooter,Not provided,1993,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,Kickstarter,Air,Automatic,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
BMW,K1,Touring Bike,Not provided,1993,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,74/100,987,4,unknown,Not provided,Not provided,Not provided,5,Cardan,Disc,Disc,Petrol,0.238,Others,"8,569"
Harley-Davidson,XL 2,Café Racer,Not provided,2006,"33,784 km",Not provided,Not provided,Not provided,No,Not provided,Yes,V | 4-Takt,49/67,1200,2,Electric starter,Not provided,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,Not provided,Others,"7,712"
Malaguti,F15 Firefox,Scooter,Not provided,1995,"9,221 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,Kickstarter,Air,Automatic,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"2,913"
Yamaha,YZF 1000 R1,Racing Motorcycle,Not provided,1998,"36,782 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,110/150,998,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.192,Others,"4,242"
Harley-Davidson,FLSTF Fat Boy,Cruiser,Not provided,1990,"29,845 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,36/49,1338,2,Electric starter,Air,Manual,Not provided,5,Belt,Disc,Drum,Petrol,0.32,Others,"11,954"
Malaguti,F15 Firefox,Scooter,Not provided,1995,"16,410 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,599"
Bimota,SB7,Racing Motorcycle,Not provided,1999,"23,550 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,97/132,749,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.228,Others,"21,851"
Malaguti,F10 Jet Line America,Scooter,Not provided,1993,"39,716 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
Malaguti,F10 Jet Line America,Scooter,Not provided,1994,620 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"2,913"
Malaguti,F10 Jet Line America,Scooter,Not provided,1994,"4,328 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"2,913"
Malaguti,F15 Firefox,Scooter,Not provided,1997,"15,404 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Others,"2,913"
Malaguti,F15 Firefox,Scooter,Not provided,1995,"14,873 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
Malaguti,F10 Jet Line America,Scooter,Not provided,1993,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,50,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
Yamaha,XT 660 X,Enduro/Scrambler,Not provided,2006,"5,903 mls",Not provided,Not provided,Not provided,No,Not provided,No,4 stroke | OHC,59/80 (Factory: 35/48),660,1,Electric starter,water,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.186,Orange,"4,295"
Ducati,916 SPS,Sports Bike,Not provided,1999,"27,275 km",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,99/134,996,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.21,Others,"16,500"
Yamaha,FZR 750 R,Racing Motorcycle,Not provided,1989,"14,241 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,88/120,749,4,Electric starter,Air,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,0.216,Others,"24,850"
Yamaha,TY 350 S,Enduro/Scrambler,Not provided,1985,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,350,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,856"
BMW,K 75,Touring Bike,Not provided,1995,"98,608 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,55/75,740,3,Electric starter,Oil-air,Not provided,Not provided,5,Not provided,Disc,Disc,Petrol,0.3,Others,"4,713"
Ducati,900 SS,Sports Bike,Not provided,1993,"32,381 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke | DOHC,57/78,904,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.186,Others,"6,255"
Garelli,Mosquito,Moped,Not provided,1985,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,35,1,Crank,Not provided,Automatic,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"3,342"
Gilera,CX 125,Sports Bike,Not provided,1991,"9,353 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1 (Factory: 24/33),125,1,unknown,Oil-air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"9,854"
Honda,NS 400R,Sports Bike,Not provided,1988,"19,811 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,53/72,387,3,unknown,Not provided,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,0.183,Others,"13,625"
